index,HR,HR_std,SDNN,LF,HF,LF/HF,arrive,F,S
0,71.27856017,22.36593313,338.0432729,41.6603199,58.3396801,0.714099217,0,1,1
1,70.31573435,18.82467431,293.5503542,20.14933693,79.85066307,0.252337753,0,1,1
2,72.50137288,20.11385035,301.7027354,23.0190141,76.9809859,0.299022075,0,1,1
3,71.02932792,19.868301,346.3953715,28.15081639,71.84918361,0.391804262,0,1,1
4,66.6245623,18.8229663,345.5784821,31.43449235,68.56550765,0.458459267,0,1,1
5,68.18882945,17.68373036,282.1917574,38.13013494,61.86986506,0.616295751,0,1,1
0,70.70899038,21.92494635,380.9884042,25.42339032,74.57660968,0.340903005,0,2,1
1,69.96574828,21.68912628,344.924284,26.42940765,73.57059235,0.35923875,0,2,1
2,65.99335068,18.07556321,280.5185515,19.4946752,80.5053248,0.242153861,0,2,1
3,70.49066011,17.63043362,278.5593808,23.47839149,76.52160851,0.306820412,0,2,2
4,69.1233672,17.68742695,262.6866986,10.50941459,89.49058541,0.11743598,0,2,2
5,69.12702843,18.6219175,332.0307793,41.3770675,58.6229325,0.705817088,0,2,2
0,69.68519324,19.96846706,303.1337283,21.8115905,78.1884095,0.278961941,0,3,2
1,73.22417246,20.47396337,323.6455968,47.57936695,52.42063305,0.907645791,0,3,2
2,68.38305264,18.02531205,273.9078521,23.88991659,76.11008341,0.313886354,0,3,2
3,68.6943127,15.71423301,234.1952241,18.17916172,81.82083828,0.222182541,0,3,3
4,65.46564465,17.1656333,316.4315406,11.67037714,88.32962286,0.132123027,0,3,3
5,73.39720146,21.51061557,288.7600606,20.40388596,79.59611404,0.25634274,0,3,3
0,70.78987029,19.64161602,291.1673155,37.25906421,62.74093579,0.59385573,0,3,3
1,70.51576477,13.65596461,237.562413,26.49176416,73.50823584,0.360391783,0,2,2
2,72.02259632,12.70521135,174.8291321,29.32521571,70.67478429,0.414931804,0,3,3
3,69.12144696,19.09761969,328.5336084,42.08983918,57.91016082,0.72681268,0,1,3
4,68.92193916,18.74070194,287.4123749,39.48290253,60.51709747,0.652425582,0,2,2
5,69.14607877,14.81887869,193.5535768,20.93226229,79.06773771,0.264738348,0,3,1
0,69.73735509,18.04689316,286.9875028,30.28938084,69.71061916,0.434501676,0,1,1
1,72.12063458,14.41915898,209.8830521,36.10414695,63.89585305,0.565046795,0,2,2
2,71.19000173,15.30288803,199.2756235,31.88180497,68.11819503,0.46803655,0,3,3
3,72.35336296,14.24181802,175.9614342,11.97430552,88.02569448,0.136031935,0,1,3
4,70.30829651,14.52694293,210.9591418,17.66402024,82.33597976,0.21453586,0,2,2
5,71.86775795,16.80331825,256.7221195,33.93641762,66.06358238,0.513693269,0,3,1
0,71.14242144,16.28623183,213.7363363,14.21754147,85.78245853,0.165739496,0,1,1
1,70.13131757,15.62759423,206.7649765,9.266918251,90.73308175,0.102133842,0,2,2
2,69.57409858,14.32499296,192.5227931,5.710068151,94.28993185,0.06055862,0,3,3
3,72.23794421,15.94810921,200.8919083,11.79290672,88.20709328,0.133695673,0,1,3
4,68.90480518,15.58448382,249.8736301,11.04566269,88.95433731,0.124172278,0,2,2
5,68.81803193,16.75690816,282.5124144,27.88455947,72.11544053,0.386665591,0,3,1
0,72.80227907,19.11652902,258.1144233,20.47442538,79.52557462,0.25745712,0,1,1
1,70.4302234,20.80547084,284.3067888,27.9754109,72.0245891,0.388414724,0,2,2
2,69.74228962,19.70719398,290.7326866,40.48199476,59.51800524,0.680163836,0,3,3
3,67.76666699,16.123215,265.3865235,24.1859515,75.8140485,0.319016752,0,1,3
4,70.25113368,16.55960405,250.8244957,22.47846369,77.52153631,0.289964115,0,2,2
5,71.63025964,19.96194086,312.5569133,37.28069472,62.71930528,0.594405416,0,3,1
0,72.82801174,19.80045017,258.8605255,32.15532874,67.84467126,0.473955112,0,1,1
1,73.03826717,20.55398342,297.4836997,22.77460449,77.22539551,0.294910817,0,2,2
2,72.87421877,20.71041559,311.4585033,35.82817558,64.17182442,0.5583163,0,3,3
3,72.71106156,18.59576188,279.4525798,36.63539714,63.36460286,0.578168181,0,1,3
4,71.81872566,18.32502364,273.056337,37.22355006,62.77644994,0.592954047,0,2,2
5,69.42061313,17.20880373,271.2282653,36.15500095,63.84499905,0.56629339,0,3,1
0,72.14082377,18.15304715,250.606195,38.98193173,61.01806827,0.63885883,0,1,1
1,68.10122491,17.85320059,275.5683277,46.03671269,53.96328731,0.853111717,0,2,2
2,71.64460488,20.06715642,306.2991998,33.663422,66.336578,0.507463951,0,3,3
3,71.24963707,17.8285234,277.9889666,28.71411709,71.28588291,0.402802293,0,1,3
4,70.83929957,20.5162436,324.8024853,54.59639056,45.40360944,1.202468069,0,2,2
5,67.64980091,19.1758724,337.8339011,28.67004015,71.32995985,0.401935459,0,3,1
0,69.70425244,19.46395305,330.423894,29.82610562,70.17389438,0.425031358,0,1,1
1,69.15441342,19.15804626,330.3644035,21.85804598,78.14195402,0.279722286,0,2,2
2,71.46274077,19.91637038,302.6122698,31.25430064,68.74569936,0.454636449,0,3,3
3,72.53101678,16.8726372,286.1970221,34.19735176,65.80264824,0.519695676,0,1,3
4,71.83467922,21.06498195,355.3510047,29.69707078,70.30292922,0.422415838,0,2,2
5,71.35711002,17.76343877,283.3179905,46.35325405,53.64674595,0.864045959,0,3,1
0,68.35006989,18.60078344,299.9778643,38.67778637,61.32221363,0.630730433,0,1,1
1,70.21717958,17.13185045,304.1276921,64.06824359,35.93175641,1.783053488,0,2,2
2,68.53762555,15.89809191,267.5170445,40.49526219,59.50473781,0.680538453,0,3,3
3,66.41961135,18.78951795,328.3355753,36.58625197,63.41374803,0.576945112,0,1,3
4,68.17997664,17.15087393,308.3926818,39.91511546,60.08488454,0.664312094,0,2,2
5,69.64221058,18.98494545,279.706708,35.85944308,64.14055692,0.559075955,0,3,1
0,71.05766682,18.89155911,291.8894405,39.5461622,60.4538378,0.654154701,0,1,1
1,69.90077201,17.0542357,240.7466,20.50285304,79.49714696,0.257906778,0,2,2
2,69.93834411,17.27455121,334.9054403,53.1300928,46.8699072,1.133565137,0,3,3
3,71.5630989,17.8214969,271.5987216,24.0404003,75.9595997,0.316489297,0,1,3
4,69.08420406,18.44007889,255.4808882,22.53110547,77.46889453,0.290840674,0,2,2
5,68.91412999,17.21785851,262.3272199,16.82577318,83.17422682,0.202295517,0,3,1
0,72.91080317,17.81331556,230.0186954,31.97699141,68.02300859,0.470090813,0,1,1
1,68.43613487,18.74171775,291.7055409,20.90579878,79.09420122,0.264315189,0,2,2
2,67.26647404,16.23893044,284.9191283,16.43937788,83.56062212,0.196735944,0,3,3
3,70.44038834,20.30935147,337.535814,28.49572212,71.50427788,0.398517725,0,1,3
4,67.05457846,15.29667326,267.5545414,27.7407698,72.2592302,0.383906246,0,2,2
5,70.08108204,19.16138312,290.2415261,42.05788712,57.94211288,0.725860433,0,3,1
0,69.85529193,19.41678667,290.3780385,30.44204818,69.55795182,0.437650152,0,1,1
1,70.82351788,18.36855786,306.7689913,37.40107912,62.59892088,0.597471627,0,2,2
2,69.00346579,16.94879287,301.4309779,28.01795109,71.98204891,0.389235254,0,3,3
3,70.62130456,18.23916298,312.7108668,30.6833585,69.3166415,0.442655008,0,1,3
4,69.06672732,18.0959239,306.5406698,28.15810183,71.84189817,0.391945404,0,2,2
5,68.5024587,19.28503905,331.4160935,26.71768574,73.28231426,0.364585726,0,3,1
0,70.75141654,17.65548508,259.7333257,24.17917433,75.82082567,0.318898853,0,1,1
1,68.74447518,17.54108766,316.4348658,28.46381939,71.53618061,0.397894033,0,2,2
2,69.52766154,20.46827806,300.2948266,43.47857703,56.52142297,0.769240666,0,3,3
3,70.18917506,19.11117065,279.1265128,24.078216,75.921784,0.317145024,0,1,3
4,69.44144623,20.38045121,299.9215271,17.63199615,82.36800385,0.214063657,0,2,2
5,66.28607846,17.89567276,312.0447867,22.12911401,77.87088599,0.28417699,0,3,1
0,70.32411463,19.52463153,314.7203803,52.85472667,47.14527333,1.12110341,0,1,1
1,70.72439605,18.99286689,283.841766,22.43283086,77.56716914,0.289205228,0,2,2
2,69.55276462,18.39427255,258.6167416,20.14246965,79.85753035,0.25223006,0,3,3
3,70.47413368,20.40557846,302.5065488,32.45967125,67.54032875,0.48059688,0,1,3
4,67.44590079,18.09313974,298.1975049,21.96492365,78.03507635,0.281475007,0,2,2
5,67.01596797,19.21743018,327.7945713,30.2474014,69.7525986,0.433638345,0,3,1
0,66.31190725,17.97950436,291.3495312,44.33409541,55.66590459,0.796431779,0,1,1
1,68.51150186,19.4444185,310.5262467,27.54531956,72.45468044,0.380173087,0,2,2
2,72.47288692,20.18923415,288.0747578,26.91580028,73.08419972,0.368284805,0,3,3
3,66.4313401,18.46296334,304.9000655,44.34276575,55.65723425,0.796711629,0,1,3
4,69.45648391,19.00230725,302.3707575,32.99094714,67.00905286,0.492335673,0,2,2
5,66.95040862,19.79234652,322.7853776,30.39206152,69.60793848,0.436617751,0,3,1
0,72.24522722,22.34840275,346.7556291,29.86934503,70.13065497,0.425909968,0,1,1
1,73.61648496,20.86314531,290.648609,35.9976183,64.0023817,0.562441855,0,2,2
2,68.09342755,21.23628968,340.3230795,26.5663631,73.4336369,0.361773762,0,3,3
3,72.77752529,20.44427272,279.9678252,34.17457708,65.82542292,0.519169883,0,1,3
4,68.96278167,20.88454351,386.37956,19.74714896,80.25285104,0.24606165,0,2,2
5,68.50328081,20.29204449,317.8817875,34.32177024,65.67822976,0.522574533,0,3,1
0,67.2081692,23.40878661,404.5832892,42.44205149,57.55794851,0.737379503,0,1,1
1,68.90396613,19.92024708,332.9416453,33.73169431,66.26830569,0.509017002,0,2,2
2,70.38345997,21.84816182,344.9636441,28.82103604,71.17896396,0.404909463,0,3,3
3,69.52223396,20.43666565,318.3401361,41.7680455,58.2319545,0.717270197,0,1,3
4,69.04344445,22.05899755,337.32255,54.56278923,45.43721077,1.200839319,0,2,2
5,69.31356809,20.60728701,321.467793,13.76804282,86.23195718,0.159662882,0,3,1
0,71.57261467,19.68493693,278.6067035,21.91833814,78.08166186,0.280710446,0,1,1
1,68.2542315,21.34372116,309.8204136,37.04857369,62.95142631,0.588526359,0,2,2
2,70.52418565,19.31757361,276.0190068,25.41721018,74.58278982,0.340791894,0,3,3
3,70.30634662,20.84709425,328.5270903,35.61839069,64.38160931,0.553238589,0,1,3
4,70.1344361,20.07837389,294.8497482,33.56745151,66.43254849,0.505286223,0,2,2
5,70.43075966,19.31483772,284.9763176,25.80381886,74.19618114,0.347778261,0,3,1
0,74.07420779,15.90346168,225.8887956,6.501231499,93.4987685,0.069532804,0,1,1
1,74.47714485,16.75457018,267.0779726,23.60668053,76.39331947,0.309014986,0,2,2
2,74.34193298,13.59827803,200.0936736,37.26901134,62.73098866,0.594108464,0,3,3
3,73.23455559,17.09267819,250.3103497,23.27995607,76.72004393,0.303440338,0,1,3
4,74.03311567,15.076441,209.9584572,28.05620561,71.94379439,0.389973949,0,2,2
5,74.37749526,18.3905404,255.4520287,29.75326052,70.24673948,0.423553616,0,3,1
0,71.32966898,16.75807287,259.8789965,16.96080733,83.03919267,0.204250629,0,1,1
1,73.88647623,16.36789066,222.9834978,26.23348374,73.76651626,0.355628611,0,2,2
2,74.51377824,15.2008485,203.2366783,27.77435629,72.22564371,0.384549792,0,3,3
3,73.43392311,16.80166065,250.2159256,21.81143794,78.18856206,0.278959446,0,1,3
4,73.467886,17.09146772,251.5163855,24.24310545,75.75689455,0.320011869,0,2,2
5,73.81485492,16.88466947,244.3365424,23.54180418,76.45819582,0.30790426,0,3,1
0,70.48032841,18.74445668,294.693334,29.73684183,70.26315817,0.423220968,0,1,1
1,73.72074115,17.10450416,280.813871,29.40653766,70.59346234,0.416561771,0,2,2
2,73.95351948,19.31302024,294.775685,19.79937587,80.20062413,0.24687309,0,3,3
3,70.76159284,18.78267106,324.4718351,30.28028745,69.71971255,0.434314577,0,1,3
4,72.62252578,18.26809114,294.9616806,21.27581861,78.72418139,0.270257731,0,2,2
5,72.24160151,18.30924432,285.6472407,42.69535197,57.30464803,0.745059143,0,3,1
0,71.97692507,17.54079785,285.6812488,40.71846132,59.28153868,0.686865797,0,1,1
1,73.89633337,17.3128338,270.2106068,33.91215756,66.08784244,0.513137611,0,2,2
2,72.66677418,17.51190976,262.9100709,23.41139793,76.58860207,0.305677311,0,3,3
3,73.52350808,17.99090222,295.5050534,27.60556721,72.39443279,0.381321687,0,1,3
4,72.02677598,16.44668347,240.6759499,13.4793283,86.5206717,0.155793154,0,2,2
5,73.05872409,18.99379299,289.2384998,29.88060594,70.11939406,0.426138964,0,3,1
0,73.11932582,18.33579135,269.0175236,37.59778451,62.40221549,0.602507206,0,1,1
1,72.25479865,17.08199229,260.0222526,38.55938452,61.44061548,0.627587862,0,2,2
2,71.81485392,17.51026358,272.6902859,28.64815349,71.35184651,0.401505426,0,3,3
3,72.3751219,17.77808373,256.2308727,13.09481707,86.90518293,0.150679357,0,1,3
4,72.34675422,18.62569467,282.5866774,31.52466449,68.47533551,0.460379847,0,2,2
5,70.71472037,19.71430465,320.8176599,62.15070977,37.84929023,1.64205747,0,3,1
0,73.16742747,16.71698379,284.9682112,29.62935569,70.37064431,0.4210471,0,1,1
1,72.25848588,16.55456838,246.8634783,25.33872125,74.66127875,0.339382364,0,2,2
2,73.54848306,15.42753201,270.5218513,51.94260556,48.05739444,1.08084523,0,3,3
3,71.27318535,14.93379052,235.3734677,53.81629257,46.18370743,1.165265752,0,1,3
4,74.28971601,17.24830996,244.4408089,22.96815198,77.03184802,0.298164364,0,2,2
5,73.13341019,17.24245259,246.1174738,34.56031363,65.43968637,0.528124683,0,3,1
0,70.5295535,15.08639794,230.5663844,22.63056609,77.36943391,0.292500086,0,1,1
1,71.0133204,16.28764498,258.5974049,43.03988953,56.96011047,0.755614573,0,2,2
2,69.15012902,14.8353271,256.8254692,28.59280832,71.40719168,0.400419168,0,3,3
3,72.35541934,16.51910169,233.1629051,44.22216236,55.77783764,0.792826761,0,1,3
4,69.49488532,14.73752526,269.4440948,24.05482339,75.94517661,0.316739317,0,2,2
5,70.16712647,16.70006841,253.6786506,19.40353146,80.59646854,0.240749152,0,3,1
0,72.33060547,15.81126843,238.9632973,19.13105424,80.86894576,0.236568612,0,1,1
1,69.16464338,16.56288827,329.4235221,38.63118793,61.36881207,0.62949219,0,2,2
2,72.33717995,15.79784489,218.8241979,27.01922692,72.98077308,0.370223907,0,3,3
3,68.88210622,16.01799356,261.5512396,22.13622226,77.86377774,0.284294224,0,1,3
4,70.0068935,14.91619095,234.7041823,40.80225493,59.19774507,0.689253533,0,2,2
5,69.46954848,16.75374885,293.0316417,38.23782262,61.76217738,0.619113902,0,3,1
0,69.19218112,15.4818085,259.0329829,44.27696747,55.72303253,0.794590055,0,1,1
1,67.8440967,15.65985129,254.0736169,24.05592979,75.94407021,0.3167585,0,2,2
2,71.02448295,15.502391,213.3341352,13.14319812,86.85680188,0.151320309,0,3,3
3,69.55718176,17.58289804,318.5696138,37.19807154,62.80192846,0.592307791,0,1,3
4,71.40639201,18.06259917,272.6772739,54.40584968,45.59415032,1.193263813,0,2,2
5,71.31395542,16.08282426,248.0467901,30.22767944,69.77232056,0.43323311,0,3,1
0,69.02462998,15.87197302,239.5243887,10.09721952,89.90278048,0.11231265,0,1,1
1,69.58086062,14.59751859,220.9595528,23.2470516,76.7529484,0.302881545,0,2,2
2,71.04837441,12.5423838,164.0134931,5.108447528,94.89155247,0.053834587,0,3,3
3,76.99144188,13.85392293,165.0869544,18.865641,81.134359,0.232523449,0,1,3
4,70.64578286,16.35721385,259.3990314,34.5327359,65.4672641,0.527480969,0,2,2
5,67.96466215,16.09401335,235.968434,7.025802153,92.97419785,0.075567225,0,3,1
0,70.71433695,15.51556681,240.8990693,32.74822846,67.25177154,0.486949678,0,1,1
1,71.85704384,15.88647471,234.8545903,20.3050521,79.6949479,0.254784684,0,2,2
2,71.69362559,15.34316192,223.6597728,30.68168086,69.31831914,0.442620093,0,3,3
3,69.03530999,17.07717636,255.497126,20.82340311,79.17659689,0.262999471,0,1,3
4,68.34124449,17.08412783,256.8979903,13.64013009,86.35986991,0.157945237,0,2,2
5,69.70630051,17.15871813,294.7580179,23.90532614,76.09467386,0.314152423,0,3,1
0,66.40484281,16.37516939,269.8227263,3.732534746,96.26746525,0.038772546,0,1,1
1,67.72975085,17.01304543,258.6430976,16.24776494,83.75223506,0.193997986,0,2,2
2,65.90463729,17.80191339,293.8013926,3.498720425,96.50127957,0.036255689,0,3,3
3,69.85278518,16.45933107,249.8582812,25.48195356,74.51804644,0.341956811,0,1,3
4,70.4785216,15.92032491,228.9532308,17.93206574,82.06793426,0.218502706,0,2,2
5,69.35341599,17.39879595,264.5343968,17.64491295,82.35508705,0.214254074,0,3,1
0,71.34254029,19.47311537,264.9104973,26.19642662,73.80357338,0.354947944,0,1,1
1,67.95928785,16.30913178,267.4757399,32.86153343,67.13846657,0.4894591,0,2,2
2,72.41017736,16.95386949,256.4307712,38.11544575,61.88455425,0.6159121,0,3,3
3,70.332485,19.6097078,319.5898892,32.72549066,67.27450934,0.48644711,0,1,3
4,68.20005688,16.95439167,264.4247916,43.61628555,56.38371445,0.773561763,0,2,2
5,73.31418355,19.85781484,294.8567138,34.88779427,65.11220573,0.535810358,0,3,1
0,72.71787295,18.69621896,251.5326611,27.73718682,72.26281318,0.383837628,0,1,1
1,70.47514319,17.32075287,260.0320329,44.31702441,55.68297559,0.795881038,0,2,2
2,68.14405733,18.56018841,297.8602292,35.02849197,64.97150803,0.5391362,0,3,3
3,72.78221528,18.10014817,253.4362353,24.37896949,75.62103051,0.32238346,0,1,3
4,72.29834729,16.83600821,221.0076319,19.53498203,80.46501797,0.242776085,0,2,2
5,70.69400027,18.07950626,268.5923714,31.32301387,68.67698613,0.456091853,0,3,1
0,68.10509455,16.09419741,276.4466095,38.42300329,61.57699671,0.623983067,0,1,1
1,69.63396461,14.58573897,233.7639248,41.60765106,58.39234894,0.712553131,0,2,2
2,71.47088765,18.34405031,266.5277628,22.81701497,77.18298503,0.295622344,0,3,3
3,70.95926157,17.33342904,291.244202,39.7024163,60.2975837,0.658441249,0,1,3
4,73.32091517,19.28744516,275.4723497,24.62146336,75.37853664,0.326637587,0,2,2
5,71.04317759,17.80830708,286.9137599,21.25677057,78.74322943,0.269950454,0,3,1
0,70.42974287,19.54835743,290.4240418,34.22425376,65.77574624,0.520317225,0,1,1
1,67.04473071,14.96504134,221.8281045,21.58273458,78.41726542,0.27522937,0,2,2
2,66.8352524,17.56899062,282.0478217,38.06972386,61.93027614,0.614719104,0,3,3
3,69.84148348,18.04590762,275.4718856,26.25925384,73.74074616,0.356102361,0,1,3
4,72.89525046,18.42968188,278.5007193,29.46239471,70.53760529,0.417683512,0,2,2
5,70.4417054,17.68636761,271.6066093,59.66531803,40.33468197,1.479255943,0,3,1
0,67.45768393,15.21527989,280.7446568,29.60108975,70.39891025,0.420476534,0,1,1
1,70.47868799,17.5459394,276.1572478,17.24661919,82.75338081,0.208409844,0,2,2
2,70.13368676,16.11876394,244.895274,34.29927096,65.70072904,0.522053126,0,3,3
3,69.70756351,19.72021482,340.3076837,26.66201536,73.33798464,0.363549878,0,1,3
4,68.11829829,17.73471253,315.40412,36.83357721,63.16642279,0.583119569,0,2,2
5,68.31552058,18.40995431,307.6282281,22.17890097,77.82109903,0.284998558,0,3,1
0,68.99183012,17.75802911,281.3322995,26.65098668,73.34901332,0.363344856,0,1,1
1,70.81360543,17.66773213,289.3495372,39.95723111,60.04276889,0.665479488,0,2,2
2,69.17041271,16.82677124,267.8417954,35.75654827,64.24345173,0.556578878,0,3,3
3,71.0193468,17.98844412,290.9587337,41.59225511,58.40774489,0.712101712,0,1,3
4,69.60386506,17.03799796,267.9504826,37.87325987,62.12674013,0.609612862,0,2,2
5,71.83325087,19.58159513,312.24659,37.74089478,62.25910522,0.606190767,0,3,1
0,70.79536741,18.48753098,281.2413127,19.59364915,80.40635085,0.243682855,0,1,1
1,69.46388097,14.55866691,207.0916921,32.69931013,67.30068987,0.48586887,0,2,2
2,69.9792168,18.08703813,298.0841114,39.57514164,60.42485836,0.654948025,0,3,3
3,71.89402644,19.4394073,287.3570847,29.9855132,70.0144868,0.428275841,0,1,3
4,67.35165888,19.11402878,311.5945865,25.42094714,74.57905286,0.340859077,0,2,2
5,69.88053759,18.70792065,318.0228169,29.69588103,70.30411897,0.422391767,0,3,1
0,71.5770628,15.12800235,228.0833489,18.82250683,81.17749317,0.23186854,0,1,1
1,69.40620429,14.71757682,234.1885702,36.26235519,63.73764481,0.568931521,0,2,2
2,70.29750074,13.43800417,190.2703733,17.62568037,82.37431963,0.213970573,0,3,3
3,71.27146908,14.64826823,196.2347614,7.637885698,92.3621143,0.082695007,0,1,3
4,71.82000472,15.46785811,210.3505393,48.27214997,51.72785003,0.933194593,0,2,2
5,72.94408244,15.12236468,190.5357851,22.62587118,77.37412882,0.29242166,0,3,1
0,71.93185052,16.25749664,211.1441366,12.39568408,87.60431592,0.141496272,0,1,1
1,69.93194904,13.57344173,210.8659132,55.23843779,44.76156221,1.23405965,0,2,2
2,71.09780231,14.15494517,183.4999552,19.55492895,80.44507105,0.24308424,0,3,3
3,72.42465516,13.51174117,191.96106,37.44505025,62.55494975,0.598594522,0,1,3
4,70.00528579,18.64788063,268.1279753,10.4526661,89.5473339,0.116727831,0,2,2
5,68.60014076,17.80890443,285.7334748,42.41034192,57.58965808,0.736422881,0,3,1
0,70.21022484,16.25554168,261.2540818,44.07723234,55.92276766,0.788180453,0,1,1
1,70.37539621,14.76540821,196.4685312,10.79404243,89.20595757,0.121001363,0,2,2
2,70.51883669,16.01478535,256.4379259,25.0484716,74.9515284,0.334195608,0,3,3
3,70.87885904,14.89141834,212.6655102,13.04743556,86.95256444,0.150052338,0,1,3
4,71.00010834,16.34179284,258.573495,22.7926409,77.2073591,0.295213321,0,2,2
5,71.24262693,18.28091909,276.5050185,15.69996636,84.30003364,0.186239147,0,3,1
0,73.28113887,15.79053275,203.8162663,41.40975178,58.59024822,0.706768669,0,1,1
1,68.97790938,15.77873199,227.9104989,21.00502988,78.99497012,0.265903384,0,2,2
2,71.58689303,15.65213347,218.7195952,7.021081655,92.97891835,0.075512619,0,3,3
3,71.82752784,17.71693423,254.1288429,16.16423323,83.83576677,0.192808319,0,1,3
4,70.80892943,16.97879092,238.3202731,37.5237775,62.4762225,0.600608936,0,2,2
5,69.43418481,18.50362217,277.6171907,18.48143098,81.51856902,0.226714369,0,3,1
0,73.2820683,19.36417782,273.8377244,37.64989959,62.35010041,0.603846655,0,1,1
1,69.12057088,17.75008101,285.3095022,23.85285627,76.14714373,0.313246894,0,2,2
2,69.54991217,16.71568504,237.6221101,33.06291032,66.93708968,0.493940063,0,3,3
3,70.30084749,16.03316978,222.3305537,13.44797059,86.55202941,0.155374411,0,1,3
4,70.89292674,17.12301916,266.5129251,30.2854697,69.7145303,0.434421197,0,2,2
5,70.09813263,17.4131761,265.5931433,32.71643351,67.28356649,0.486247017,0,3,1
0,70.68220293,17.72530378,271.9947329,26.4974438,73.5025562,0.360496902,0,1,1
1,68.77790975,18.00408791,276.5850888,22.21296505,77.78703495,0.285561277,0,2,2
2,68.36950007,14.89286578,227.869587,15.2433854,84.7566146,0.179848918,0,3,3
3,70.90209147,16.01620467,239.9389424,34.12615574,65.87384426,0.518053199,0,1,3
4,69.11128263,14.10140212,211.8808937,10.11492656,89.88507344,0.112531772,0,2,2
5,69.42651516,13.25021439,206.2182584,24.73925921,75.26074079,0.328714001,0,3,1
0,74.69748994,18.80047883,258.3138942,30.61715709,69.38284291,0.441278504,0,1,1
1,69.76244018,19.13927681,279.3898849,34.42256522,65.57743478,0.524914787,0,2,2
2,67.32900529,14.99166766,221.6574945,18.62855093,81.37144907,0.228932275,0,3,3
3,71.12821734,16.52331869,218.5542251,21.38577781,78.61422219,0.272034464,0,1,3
4,69.83430561,16.35032184,261.1023994,28.96705389,71.03294611,0.407797444,0,2,2
5,70.50183563,18.70724672,288.7400194,38.42077282,61.57922718,0.623924245,0,3,1
0,68.04444619,16.74486087,259.1261357,20.45781755,79.54218245,0.257194572,0,1,1
1,69.41021465,19.17237794,298.8927396,18.36384628,81.63615372,0.22494747,0,2,2
2,70.75661768,17.44953572,297.4167513,35.53137995,64.46862005,0.551142244,0,3,3
3,70.20381823,17.5571214,257.5579607,34.01785355,65.98214645,0.515561487,0,1,3
4,68.66030445,15.33989228,204.6864665,23.07486036,76.92513964,0.299965141,0,2,2
5,68.39576166,17.23462072,254.9401024,12.79675517,87.20324483,0.146746319,0,3,1
0,72.23040727,18.87975542,265.6293959,22.53245465,77.46754535,0.290863155,0,1,1
1,70.42058647,18.62995516,303.6746403,40.5126471,59.4873529,0.681029582,0,2,2
2,70.28785295,16.4922011,219.2934666,17.00854988,82.99145012,0.204943399,0,3,3
3,68.84770712,17.82693242,282.619395,23.34619329,76.65380671,0.304566652,0,1,3
4,69.93742572,18.28832025,242.7513512,13.49184847,86.50815153,0.15596043,0,2,2
5,70.06293534,17.2308014,263.558365,15.22049731,84.77950269,0.179530392,0,3,1
0,68.33508949,18.33761453,295.9315392,44.6200853,55.3799147,0.805708812,0,1,1
1,68.91543063,19.06487092,333.6986893,29.90801679,70.09198321,0.426696684,0,2,2
2,69.51574323,17.74359007,250.7702439,9.568790314,90.43120969,0.10581292,0,3,3
3,70.25169568,14.88206935,226.5090668,37.41410606,62.58589394,0.597804133,0,1,3
4,72.00909429,15.68524155,189.1360031,6.375109582,93.62489042,0.068092038,0,2,2
5,73.15612425,18.28201106,241.0831133,22.96407678,77.03592322,0.298095691,1,3,1
